Sean Costello|Jason Orans|Ron Simons,Tanya Hamilton,Tanya Hamilton,Kerry Washington|Anthony Mackie|Jamie Hector|Wendell Pierce|Amari Cheatom|Tariq Trotter|Novella Nelson|Thomas Roy|Ron Simons,Night Catches Us
David Kirschner,,,Frank Welker|Jeff Bennett|Rino Romano|Jim Cummings|Elizabeth Daily|Grey DeLisle|Debi Derryberry|Clyde Kusatsu|Lex Lang|Annie Mumolo|Rob Paulsen|James Sie|Susan Silo|B.J. Ward|B.J. Ward|Rolonda Watts,Curious George: A Very Monkey Christmas
Mark Johnson|Mark Johnson|Andrew Adamson,Michael Apted,,Skandar Keynes|Georgie Henley|Ben Barnes|Ben Barnes|Will Poulter|Tilda Swinton|Liam Neeson,The Chronicles of Narnia:|The Voyage of the Dawn Treader
Graham King|Timothy Headington|Roger Birnbaum|Gary Barber|Jonathan Glickman,Florian Henckel von Donnersmarck,,Angelina Jolie|Johnny Depp|Timothy Dalton|Paul Bettany|Steven Berkoff|Rufus Sewell|Christian De Sica|Raoul Bova,The Tourist
Robert Chartoff,Julie Taymor,,Helen Mirren|Russell Brand|Reeve Carney|Tom Conti|Chris Cooper|Alan Cumming|Djimon Hounsou|Felicity Jones|Alfred Molina|David Strathairn|Ben Whishaw,The Tempest
,James L. Brooks,,Reese Witherspoon|Paul Rudd|Owen Wilson|Jack Nicholson|Kathryn Hahn,How Do You Know
David Hoberman|Todd Lieberman|Ryan Kavanaugh|Mark Wahlberg|Darren Aronofsky,David O. Russell,,Christian Bale|Amy Adams|Melissa Leo|Jack McGee|Jack McGee,The Fighter
Sean Bailey|Sean Bailey|Steven Lisberger,Joseph Kosinski,,Jeff Bridges|Garrett Hedlund|Olivia Wilde|Bruce Boxleitner|Michael Sheen|James Frain|Beau Garrett,Tron: Legacy
Donald De Line,Eric Brevig,,Dan Aykroyd|Justin Timberlake|Anna Faris|Tom Cavanagh|T.J. Miller|Nate Corddry|Andrew Daly,Yogi Bear
,George Hickenlooper,Norman Snider,Kevin Spacey|Barry Pepper|Rachelle Lefevre|Kelly Preston|Jon Lovitz|Maury Chaykin,Casino Jack
Nicole Kidman|Leslie Urdang,John Cameron Mitchell,,Nicole Kidman|Aaron Eckhart|Dianne Wiest|Miles Teller|Tammy Blanchard|Sandra Oh,Rabbit Hole
Jane Rosenthal|Robert De Niro|Jay Roach|John Hamburg,Paul Weitz|Paul Weitz,,Robert De Niro|Ben Stiller|Owen Wilson|Blythe Danner|Teri Polo|Jessica Alba|Dustin Hoffman|Barbra Streisand,Little Fockers
Scott Rudin,Coen brothers|Joel Coen|Ethan Coen,,Jeff Bridges|Matt Damon|Josh Brolin|Barry Pepper|Hailee Steinfeld,True Grit
Roman Coppola,Sofia Coppola,,Stephen Dorff|Elle Fanning,Somewhere
,Sylvain Chomet,,Eilidh Rankin,The Illusionist
Georgina Lowe,Mike Leigh,,Lesley Manville|Jim Broadbent|Ruth Sheen,Another Year
Jamie Patricof,Derek Cianfrance,,Ryan Gosling|Michelle Williams|Michelle Williams,Blue Valentine
,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,,Nasser Saleh,Biutiful
Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Ian Bryce,Michael Bay,,Shia LaBeouf|Rosie Huntington-Whiteley|Josh Duhamel|John Turturro|Tyrese Gibson|Patrick Dempsey|Kevin Dunn|Julie White|John Malkovich|Frances McDormand,Transformers: Dark of the Moon
Jerry Bruckheimer,Rob Marshall,,Johnny Depp|PenÃ©lope Cruz|Ian McShane|Kevin R. McNally|Johnny Depp|PenÃ©lope Cruz|Ian McShane|Kevin R. McNally|Geoffrey Rush,Pirates of the Caribbean:|On Stranger Tides
,Jennifer Yuh Nelson,,Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Seth Rogen|Lucy Liu|David Cross|James Hong|Michelle Yeoh|Jackie Chan,Kung Fu Panda 2
Neal H. Moritz|Vin Diesel,Justin Lin,Chris Morgan|Chris Morgan,"Paul Walker|Jordana Brewster|Tyrese Gibson|Ludacris|Chris ""Ludacris"" Bridges|Matt Schulze|Sung Kang|Dwayne Johnson",Fast Five
,Todd Phillips,,Bradley Cooper|Ed Helms|Zach Galifianakis|Ken Jeong|Jeffrey Tambor|Justin Bartha|Paul Giamatti,The Hangover Part II
Jordan Kerner,Raja Gosnell,,Neil Patrick Harris|Jayma Mays|Sofia Vergara|Hank Azaria,The Smurfs
,John Lasseter,,Owen Wilson|Larry the Cable Guy|Michael Caine|Emily Mortimer|John Turturro|Eddie Izzard,Cars 2
Mark Damon|Peter Safran|Patrick Dempsey,Rob Minkoff,Jon Lucas|Scott Moore|Scott Moore,Patrick Dempsey|Ashley Judd,Flypaper
Charles Roven,Dominic Sena,Bragi F. Schut,Nicolas Cage|Ron Perlman|Robert Sheehan|Claire Foy|Stephen Campbell Moore|Stephen Graham|Stephen Graham|Ulrich Thomsen|Christopher Lee,Season of the Witch
CÄƒtÄƒlin Mitulescu|Daniel Mitulescu,Florin È˜erban,,George PiÅŸtereanu,If I Want to Whistle|I Whistle
Michael Ochs,,,,Phil Ochs: There but for Fortune
,Elia Suleiman,Elia Suleiman,Elia Suleiman|Saleh Bakri|Leila Mouammar|Bilal Zidani|Samar Qudha Tanus,The Time That Remains
Neal H. Moritz,Michel Gondry,,Jay Chou|Christoph Waltz|Cameron Diaz|Edward James Olmos|David Harbour|Tom Wilkinson,The Green Hornet
,Ivan Reitman,,Natalie Portman|Ashton Kutcher|Cary Elwes|Kevin Kline,No Strings Attached
Brian Grazer|Vince Vaughn,Ron Howard,Allan Loeb,Kevin James|Jennifer Connelly|Winona Ryder|Channing Tatum|Queen Latifah,The Dilemma
,John Michael McDonagh,,Brendan Gleeson|Don Cheadle|Mark Strong|Liam Cunningham|Fionnula Flanagan,The Guard
,Evan Glodell,,,Bellflower
,Cindy Meehl,,,Buck
Niv Fichman|Paul Gross,Jason Eisener,,Rutger Hauer|Molly Dunsworth|Brian Downey|Brian Downey|Gregory Smith|Gregory Smith|Nick Bateman (model)|Nick Bateman,Hobo with a Shotgun
,Dee Rees,,Adepero Oduye|Kim Wayans|Aasha Davis,Pariah
,Chris Kentis|Laura Lau,,Elizabeth Olsen|Eric Sheffer Stevens,Silent House
Mary Jane Skalski|Michael London,Tom McCarthy|Tom McCarthy,,Paul Giamatti|Alex Shaffer|Alex Shaffer|Amy Ryan|Bobby Cannavale,Win Win
Andrea Sperling,Drake Doremus,Ben York Jones,Anton Yelchin|Felicity Jones|Jennifer Lawrence,Like Crazy
,Morgan Spurlock,,J.J. Abrams|Jimmy Kimmel,POM Wonderful Presents: The Greatest Movie Ever Sold
Ed Helms,Miguel Arteta,Phil Johnston|Phil Johnston,John C. Reilly|Anne Heche|Isiah Whitlock Jr.|Sigourney Weaver,Cedar Rapids
Renn Hawkey,Vera Farmiga,,Joshua Leonard|Norbert Leo Butz|Dagmara DomiÅ„czyk|John Hawkes|John Hawkes|Bill Irwin|Ebon Moss-Bachrach|Donna Murphy,Higher Ground
Brit Marling,Mike Cahill|Mike Cahill,,Brit Marling|William Mapother,Another Earth
Brit Marling,Zal Batmanglij,,Christopher Denham,Sound of My Voice
Sophia Lin,Jeff Nichols,,Michael Shannon|Jessica Chastain|Shea Whigham|Katy Mixon|Kathy Baker,Take Shelter
Michael Benaroya|Neal Dodson|Zachary Quinto,J. C. Chandor,,Kevin Spacey|Paul Bettany|Jeremy Irons|Zachary Quinto|Penn Badgley|Simon Baker|Mary McDonnell|Demi Moore|Stanley Tucci|Ashley Williams|Ashley Williams|Aasif Mandvi,Margin Call
Beau Flynn|Tripp Vinson,Mikael HÃ¥fstrÃ¶m,Michael Petroni,Anthony Hopkins|Colin O'Donoghue|Alice Braga|CiarÃ¡n Hinds|Rutger Hauer,The Rite
Irwin Winkler|Robert Chartoff,Simon West,,Jason Statham|Ben Foster,The Mechanic
Andrew Wight,Alister Grierson,,Richard Roxburgh|Rhys Wakefield|Dan Wyllie|Ioan Gruffudd,Sanctum
Sonny Mallhi,Christian E. Christiansen,,Leighton Meester|Minka Kelly|Cam Gigandet|Danneel Harris|Matt Lanter|Aly Michalka|Frances Fisher|Billy Zane,The Roommate
Marc Platt|Marc E. Platt,Don Roos,,Natalie Portman|Lisa Kudrow|Lauren Ambrose|Scott Cohen|Scott Cohen,The Other Woman
John Papsidera|Jane Seymour|Jane Seymour|Richard Arlook|Jack Giarraputo,James Keach,,Rachel Bilson|Tom Sturridge|Jaime King|Nikki Blonsky|Scott Mechlowicz|Blythe Danner|Roz Ryan|Richard Jenkins,Waiting for Forever
,Aaron Katz|Aaron Katz,Aaron Katz|Aaron Katz,Cris Lankenau|Trieste Kelly Dunn|RaÃºl Castillo,Cold Weather
Adam Sandler|Jack Giarraputo|Heather Parry,Dennis Dugan,,Jennifer Aniston|Nick Swardson|Brooklyn Decker|Dave Matthews|Bailee Madison|Nicole Kidman,Just Go with It
Duncan Kenworthy,Kevin Macdonald|Kevin Macdonald,,Channing Tatum|Jamie Bell|Donald Sutherland|Mark Strong,The Eagle
"Scooter Braun|Justin Bieber|Antonio ""L.A."" Reid|Usher (entertainer)|Usher Raymond IV",Jon M. Chu,,Justin Bieber,Justin Bieber: Never Say Never
,Peter Byck,,R. James Woolsey|Richard Branson|Denis Hayes|Van Jones|Lester R. Brown|Ralph Cavanagh|Robert F. Fox|Jr.|Bob Fox|Thomas Friedman|Eban Goodstein|Gary Hirshberg|Sadhu Aufochs Johnston|Amory B. Lovins|Joel Makower|Edward Mazria|Arthur H. Rosenfeld|John Rowe (CEO) Exelon,Carbon Nation
,,,Danny Glover|Nia Long|Evan Ross|Roger Guenveur Smith,Mooz-lum
Martina GusmÃ¡n,Pablo Trapero,,Ricardo DarÃ\xadn,Carancho
Chris Moore|Chris Moore,George Nolfi,,Matt Damon|Emily Blunt,The Adjustment Bureau
John Logan|John Logan|Gabrielle Tana|Colin Vaines,Ralph Fiennes,,Ralph Fiennes|Gerard Butler|Vanessa Redgrave|Brian Cox|Brian Cox|Jessica Chastain|John Kani|James Nesbitt|Paul Jesson|Lubna Azabal|Ashraf Barhom,Coriolanus
Nira Park|Tim Bevan|Eric Fellner,Greg Mottola,Simon Pegg|Nick Frost,Jason Bateman|Kristen Wiig|Bill Hader|Blythe Danner|John Carroll Lynch|Sigourney Weaver|Seth Rogen,Paul
Graham King,Gore Verbinski,,Johnny Depp|Isla Fisher|Abigail Breslin|Ned Beatty|Alfred Molina|Bill Nighy|Stephen Root|Harry Dean Stanton|Ray Winstone|Timothy Olyphant,Rango
,Asghar Farhadi,,Leila Hatami|Peyman Moaadi|Shahab Hosseini|Babak Karimi|Sareh Bayat|Sarina Farhadi|Merila Zarei,A Separation
Joel Silver|Leonard Goldberg,Jaume Collet-Serra,,Liam Neeson|Diane Kruger|January Jones|Aidan Quinn|Frank Langella,Unknown
David T. Friendly,John Whitesell,,Martin Lawrence|Brandon T. Jackson,Big Mommas: Like Father|Like Son
Michael Bay,D. J. Caruso,,Alex Pettyfer|Timothy Olyphant|Teresa Palmer|Dianna Agron|Callan McAuliffe|Alex Pettyfer|Timothy Olyphant|Teresa Palmer|Dianna Agron|Callan McAuliffe|Kevin Durand,I Am Number Four
Michael De Luca|Adam Fields,Patrick Lussier,Todd Farmer,Nicolas Cage|Amber Heard|William Fichtner|Billy Burke|Billy Burke|Charlotte Ross|Katy Mixon|Tom Atkins|Tom Atkins,Drive Angry
James B. Rogers|J.B. Rogers,Bobby Farrelly|Peter Farrelly,,Stephen Merchant,Hall Pass
Ryan Kavanaugh,Michael Dowse,,Topher Grace|Anna Faris|Dan Fogler|Teresa Palmer,Take Me Home Tonight
Susan Cartsonis,Daniel Barnz,,Alex Pettyfer|Vanessa Hudgens|Mary-Kate Olsen|Peter Krause|LisaGay Hamilton|Neil Patrick Harris|Regina King,Beastly
Leonardo DiCaprio,Catherine Hardwicke,David Leslie Johnson,Amanda Seyfried|Gary Oldman|Billy Burke|Billy Burke|Shiloh Fernandez|Max Irons|Max Irons|Virginia Madsen|Lukas Haas|Julie Christie,Red Riding Hood
Jeffrey Chernov,Jonathan Liebesman,Christopher Bertolini|Chris Bertolini,Aaron Eckhart|Michelle Rodriguez|RamÃ³n RodrÃ\xadguez|Ramon Rodriguez|Bridget Moynahan|Ne-Yo|Michael PeÃ±a,Battle: Los Angeles
Leslie Dixon|Scott Kroopf|Ryan Kavanaugh,Neil Burger,,Bradley Cooper|Abbie Cornish|Robert De Niro|Andrew Howard|Anna Friel,Limitless
Alison Owen,Cary Fukunaga|Cary Joji Fukunaga,,Mia Wasikowska|Michael Fassbender|Jamie Bell|Judi Dench,Jane Eyre
Sidney Kimmel|Tom Rosenberg|Gary Lucchesi,Brad Furman,,Matthew McConaughey|Marisa Tomei|Ryan Phillippe|Josh Lucas|John Leguizamo|Michael PeÃ±a|Bob Gunton|Frances Fisher|Bryan Cranston|William H. Macy|Trace Adkins,The Lincoln Lawyer
Robert Zemeckis|Jack Rapke|Steve Starkey,Simon Wells,,Seth Green|Dan Fogler|Elisabeth Harnois|Mindy Sterling|Joan Cusack,Mars Needs Moms
Mark Gordon,Duncan Jones,Ben Ripley,Jake Gyllenhaal|Michelle Monaghan|Vera Farmiga,Source Code
Nira Park,Joe Cornish,,Jodie Whittaker|John Boyega|Alex Esmail|Franz Drameh|Leeon Jones|Luke Treadaway|Nick Frost,Attack the Block
,,,Dustin Poirier|Tim Credeur,Fightville
,Xavier Gens,,Michael Eklund|Abbey Thickson|Ashton Holmes|Rosanna Arquette,The Divide
Steve Golin|Keith Redmon,Jodie Foster,Kyle Killen,Mel Gibson|Anton Yelchin|Jennifer Lawrence,The Beaver
Gilbert Adler|Scott Mitchell Rosenberg,Kevin Munroe,Thomas Dean Donnelly|Joshua Oppenheimer,Brandon Routh|Sam Huntington|Anita Briem|Peter Stormare|Taye Diggs,Dylan Dog: Dead of Night
,Carlos Saldanha,,Jesse Eisenberg|Anne Hathaway|George Lopez|Jemaine Clement|Tracy Morgan|Leslie Mann|Will.i.am|Jamie Foxx,Rio
Nina Jacobson,David Bowers|David Bowers,,Zachary Gordon|Devon Bostick|Rachael Harris|Robert Capron|Steve Zahn,Diary of a Wimpy Kid: Rodrick Rules
Deborah Snyder,Zack Snyder,,Emily Browning|Abbie Cornish|Jena Malone|Vanessa Hudgens|Jamie Chung|Carla Gugino|Oscar Isaac|Jon Hamm|Emily Browning|Abbie Cornish|Jena Malone|Vanessa Hudgens|Jamie Chung|Carla Gugino|Oscar Isaac|Jon Hamm|Scott Glenn,Sucker Punch
Chris Meledandri,Tim Hill|Tim Hill,,Russell Brand|James Marsden|Kaley Cuoco|Hank Azaria|Hugh Laurie,Hop
Marty Adelstein,Joe Wright,,Saoirse Ronan|Eric Bana|Cate Blanchett,Hanna
Larry Brezner|Kevin McCormick (movie producer)|Kevin McCormick|Chris Bender|Chris Bender,Jason Winer,,Russell Brand|Helen Mirren|Jennifer Garner|Luis GuzmÃ¡n|Greta Gerwig|Nick Nolte,Arthur
David Brookwell,Sean McNamara|Sean McNamara,,AnnaSophia Robb|Helen Hunt|Lorraine Nicholson|Carrie Underwood|Dennis Quaid,Soul Surfer
Scott Stuber,David Gordon Green,Danny McBride|Ben Best|Ben Best,Danny McBride|James Franco|Natalie Portman|Danny McBride|James Franco|Natalie Portman|Zooey Deschanel,Your Highness
Kevin Williamson|Kevin Williamson,Wes Craven,,David Arquette|Neve Campbell|Courteney Cox|Emma Roberts|Hayden Panettiere|Anthony Anderson|Alison Brie|Adam Brody|Rory Culkin|Marielle Jaffe|Erik Knudsen|Mary McDonnell|Marley Shelton|Nico Tortorella|Aimee Teegarden|Britt Robertson,Scream 4
Stephen Shiu,,,Hayama Hiro|Lan Yan|Saori Hara,3D Sex and Zen: Extreme Ecstasy
John Aglialoro|Harmon Kaslow,Paul Johansson,,Taylor Schilling|Grant Bowler|Matthew Marsden|Edi Gathegi|Jsu Garcia|Michael Lerner|Michael Lerner,Atlas Shrugged: Part I
Neal H. Moritz|Vin Diesel,Justin Lin,Chris Morgan|Chris Morgan,"Paul Walker|Jordana Brewster|Tyrese Gibson|Ludacris|Chris ""Ludacris"" Bridges|Matt Schulze|Sung Kang|Dwayne Johnson",Fast Five
,Nanni Moretti,Francesco Piccolo,Michel Piccoli|Nanni Moretti,We Have a Pope|{{small|Habemus Papam}}
Peter Del Vecho|Clark Spencer,Stephen J. Anderson|Don Hall|Don Hall,,Jim Cummings|Travis Oates|Bud Luckey|Tom Kenny|Craig Ferguson|Kristen Anderson-Lopez|Huell Howser,Winnie the Pooh
Kevin Feige,Kenneth Branagh,,Chris Hemsworth|Natalie Portman|Tom Hiddleston|Stellan SkarsgÃ¥rd|Colm Feore|Ray Stevenson|Ray Stevenson|Idris Elba|Kat Dennings|Rene Russo|Anthony Hopkins,Thor
Keith Scholey,Alastair Fothergill|Keith Scholey,,,African Cats
Erwin Stoff,Francis Lawrence,,Reese Witherspoon|Robert Pattinson|Christoph Waltz|Hal Holbrook,Water for Elephants
Maurice Kanbar|David Lovegren,Mike Disa,Cory Edwards|Todd Edwards (film writer)|Todd Edwards|Tony Leech,Glenn Close|Cheech Marin|Tommy Chong|Hayden Panettiere|Amy Poehler|Martin Short|Patrick Warburton,Hoodwinked Too! Hood vs. Evil
Judd Apatow|Barry Mendel|Clayton Townsend,Paul Feig,Annie Mumolo|Kristen Wiig,Maya Rudolph|Rose Byrne|Melissa McCarthy|Wendi McLendon-Covey|Ellie Kemper|Chris O'Dowd|Jill Clayburgh,Bridesmaids
Ted Griffin,Joe Nussbaum,,Aimee Teegarden|Thomas McDonell|Cameron Monaghan|Yin Chang|Nicholas Braun|Dean Norris|Danielle Campbell|Nolan Sotillo|Kylie Bunbury|Christine Elise|Raini Rodriguez,Prom
Masahiko Minami,Kazuya Murata|Kazuya Murata,,Romi Park|Rie Kugimiya|Maaya Sakamoto|Toshiyuki Morikawa|Sakiko Tamagawa|Shin-ichiro Miki|Fumiko Orikasa|Megumi Takamoto|Kenji Utsumi,Fullmetal Alchemist:|The Sacred Star of Milos
T.D. Jakes,,,Angela Bassett|Paula Patton|Laz Alonso|Loretta Devine|Mike Epps,Jumping the Broom
Broderick Johnson|Andrew Kosove,Luke Greenfield,,Ginnifer Goodwin|Kate Hudson|John Krasinski|Colin Egglesfield|Steve Howey|Steve Howey|Ashley Williams|Ashley Williams,Something Borrowed
Jerry Bruckheimer,Rob Marshall,,Johnny Depp|PenÃ©lope Cruz|Ian McShane|Kevin R. McNally|Johnny Depp|PenÃ©lope Cruz|Ian McShane|Kevin R. McNally|Geoffrey Rush,Pirates of the Caribbean:|On Stranger Tides
Letty Aronson|Stephen Tenenbaum,Woody Allen,,Kathy Bates|Adrien Brody|Carla Bruni|Marion Cotillard|Rachel McAdams|Michael Sheen|Owen Wilson,Midnight in Paris
,Lynne Ramsay,,Tilda Swinton|John C. Reilly|Ezra Miller,We Need to Talk About Kevin
Bryce Dallas Howard|Ron Howard|Brian Grazer,Gus Van Sant,,Mia Wasikowska,Restless
,,,Stephanie Sigman,Miss Bala
Michael DeLuca,Scott Charles Stewart|Scott Stewart,,Paul Bettany|Karl Urban|Lily Collins|Cam Gigandet|Maggie Q,Priest
,Joseph Cedar,,Lior Ashkenazi,Footnote
,,,,Departures
Thomas Langmann,Michel Hazanavicius,,Jean Dujardin|BÃ©rÃ©nice Bejo,The Artist
Sarah Green|Sarah Green|Bill Pohlad|Brad Pitt|Dede Gardner|Grant Hill|Grant Hill,Terrence Malick,,Sean Penn|Jessica Chastain,The Tree of Life
,Lars von Trier,,Kirsten Dunst|Charlotte Gainsbourg|Alexander SkarsgÃ¥rd|Brady Corbet|Charlotte Rampling|Jesper Christensen|John Hurt|Stellan SkarsgÃ¥rd|Udo Kier|Kiefer Sutherland,Melancholia
,Joachim Trier,,Anders Danielsen Lie|Ingrid Olava,Oslo|August 31st
AgustÃ\xadn AlmodÃ³var,Pedro AlmodÃ³var,,Antonio Banderas|Elena Anaya|Marisa Paredes|:es:Jan Cornet|Jan Cornet|:es:Roberto Ã\x81lamo|Roberto Ã\x81lamo,The Skin I Live In
,Nicolas Winding Refn,,Ryan Gosling|Carey Mulligan|Bryan Cranston|Christina Hendricks|Ron Perlman|Oscar Isaac|Albert Brooks,Drive
,Jafar Panahi|Mojtaba Mirtahmasb,,,This Is Not a Film
,Nuri Bilge Ceylan,Ebru Ceylan,Muhammet Uzuner|YÄ±lmaz ErdoÄŸan|Taner Birsel,Once Upon a Time in Anatolia
,Jennifer Yuh Nelson,,Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Seth Rogen|Lucy Liu|David Cross|James Hong|Michelle Yeoh|Jackie Chan,Kung Fu Panda 2
Lauren Shuler Donner|Bryan Singer|Simon Kinberg|Gregory Goodman,Matthew Vaughn,,James McAvoy|Michael Fassbender|Rose Byrne|January Jones|Oliver Platt|Kevin Bacon|James McAvoy|Michael Fassbender|Rose Byrne|January Jones|Oliver Platt|Kevin Bacon,X-Men: First Class
,Todd Phillips,,Bradley Cooper|Ed Helms|Zach Galifianakis|Ken Jeong|Jeffrey Tambor|Justin Bartha|Paul Giamatti,The Hangover Part II
,,,Scott Eastwood|Ernest Borgnine|Georgina Cordova|Sandi Patty|Anupam Kher|Michael Madsen|Alphonso McAuley|Omar Benson Miller|Vic Mignogna,The Lion of Judah
Bobbi Sue Luther,John Schultz|John Schultz,Megan McDonald,Jordana Beatty|Heather Graham|Parris Mosteller|Taylar Hender|Jaleel White,Judy Moody and the Not Bummer Summer
Bryan Burk|Steven Spielberg,J. J. Abrams,,Kyle Chandler|Elle Fanning|Joel Courtney|Gabriel Basso|Noah Emmerich|Ron Eldard|Riley Griffiths|Joel McKinnon Miller|Ryan Lee|Ryan Lee|Zach Mills,Super 8
,David Gelb,,Jiro Ono (chef)|Jiro Ono,Jiro Dreams of Sushi
Jordan Kerner,Raja Gosnell,,Neil Patrick Harris|Jayma Mays|Sofia Vergara|Hank Azaria,The Smurfs
,Jake Kasdan,Lee Eisenberg|Gene Stupnitsky,Cameron Diaz|Justin Timberlake|Lucy Punch|Phyllis Smith|John Michael Higgins|Jason Segel,Bad Teacher
Donald De Line|Greg Berlanti,Martin Campbell,,Ryan Reynolds|Blake Lively|Peter Sarsgaard|Mark Strong|Angela Bassett|Ryan Reynolds|Blake Lively|Peter Sarsgaard|Mark Strong|Angela Bassett|Tim Robbins,Green Lantern
,John Lasseter,,Owen Wilson|Larry the Cable Guy|Michael Caine|Emily Mortimer|John Turturro|Eddie Izzard,Cars 2
Don Murphy|Tom DeSanto|Lorenzo di Bonaventura|Ian Bryce,Michael Bay,,Shia LaBeouf|Rosie Huntington-Whiteley|Josh Duhamel|John Turturro|Tyrese Gibson|Patrick Dempsey|Kevin Dunn|Julie White|John Malkovich|Frances McDormand,Transformers: Dark of the Moon
Jami Gertz,Chris Weitz,,DemiÃ¡n Bichir,A Better Life
,Shoaib Mansoor,,Manzar Sehbai|Atif Aslam|Iman Ali|Mahira Khan|Humaima Malik|Shafqat Cheema|Amr Kashmiri|Zaib Rehman|Rashid Khawaja,Bol (Pakistan)
Gary Goetzman,Tom Hanks,Nia Vardalos,Julia Roberts|Cedric the Entertainer|Taraji P. Henson|Pam Grier,Larry Crowne
Brett Ratner|Jay Stern,Seth Gordon,,Jason Bateman|Charlie Day|Jason Sudeikis|Jennifer Aniston|Colin Farrell|Kevin Spacey|Jamie Foxx,
Nicole Kidman|Arnon Milchan,Thomas Bezucha,,Selena Gomez|Leighton Meester|Katie Cassidy,Monte Carlo
Julien Favre|Luca Matrundola|Pascal Vaguelsy|Ted Hope,Martin Donovan,,Martin Donovan|David Morse|David Morse|Olivia Williams|Melissa Auf der Maur|Katherine Helmond|Eileen Ryan,Collaborator
,,Onur Tukel,Rachel Korine,Septien
,Lucas Belvaux,,Yvan Attal,Rapt
Kevin James|Adam Sandler|Jack Giarraputo|Walt Becker,Frank Coraci,,Rosario Dawson|Leslie Bibb,Zookeeper
Simon Chinn,James Marsh|James Marsh,,Bern Cohen,Project Nim
Kevin Feige,Joe Johnston,,Chris Evans|Chris Evans|Tommy Lee Jones|Hugo Weaving|Hayley Atwell|Sebastian Stan|Dominic Cooper|Neal McDonough|Derek Luke|Derek Luke|Chris Evans|Chris Evans|Tommy Lee Jones|Hugo Weaving|Hayley Atwell|Sebastian Stan|Dominic Cooper|Neal McDonough|Derek Luke|Derek Luke|Stanley Tucci,Captain America: The First Avenger
Jerry Zucker|Jerry Zucker,Will Gluck,,Justin Timberlake|Mila Kunis|Patricia Clarkson|Jenna Elfman|Bryan Greenberg|Richard Jenkins|Woody Harrelson,Friends with Benefits
Luc Besson|Ariel Zeitoun,Olivier Megaton,Robert Mark Kamen,Zoe Saldana|Cliff Curtis|Lennie James|Callum Blue|Jordi MollÃ\xa0,Colombiana
Denise Di Novi,Glenn Ficarra|John Requa,Dan Fogelman,Steve Carell|Ryan Gosling|Julianne Moore|Emma Stone|Marisa Tomei|Kevin Bacon,Crazy|Stupid|Love.
,Steven Quale,,Nicholas D'Agosto|Emma Bell|Miles Fisher|Arlen Escarpeta|David Koechner|Tony Todd,Final Destination 5
Neal H. Moritz,David Dobkin|David Dobkin,Jon Lucas|Scott Moore|Scott Moore,Ryan Reynolds|Jason Bateman,The Change-Up
Peter Chernin|Rick Jaffa and Amanda Silver|Rick Jaffa|Amanda Silver,Rupert Wyatt,,James Franco|Freida Pinto|John Lithgow|Brian Cox|Brian Cox|Tom Felton|David Oyelowo|Andy Serkis,
Dante Di Loreto|Ryan Murphy|Ryan Murphy,Kevin Tancharoen,,Dianna Agron|Chris Colfer|Darren Criss|Kevin McHale|Kevin McHale|Lea Michele|Cory Monteith|Heather Morris|Amber Riley|Naya Rivera|Mark Salling|Jenna Ushkowitz|Harry Shum|Jr.|Chord Overstreet|Ashley Fink,Glee: The 3D Concert Movie
Luc DÃ©ry|Kim McCraw,Philippe Falardeau,,Danielle Proulx,Monsieur Lazhar
Nina Jacobson,Lone Scherfig,David Nicholls|David Nicholls,Anne Hathaway|Jim Sturgess|Tom Mison|Jodie Whittaker|Rafe Spall|JosÃ©phine de La Baume|Patricia Clarkson,One Day
Chris Columbus|Chris Columbus|Michael Barnathan|Brunson Green,Tate Taylor,,Jessica Chastain|Viola Davis|Bryce Dallas Howard|Allison Janney|Octavia Spencer|Viola Davis|Bryce Dallas Howard|Allison Janney|Octavia Spencer|Emma Stone,The Help
Avi Lerner|Boaz Davidson,Marcus Nispel,Thomas Dean Donnelly and Joshua Oppenheimer|Thomas Dean Donnelly|Joshua Oppenheimer|Sean Hood,Jason Momoa|Rachel Nichols|Rachel Nichols|Stephen Lang|Rose McGowan|SaÃ¯d Taghmaoui|Leo Howard|Bob Sapp|Ron Perlman,Conan the Barbarian
